Name,Elo,Wins,Losses,MatchesPlayed
Recouderc L.,455,3,12,15
Nielsen F.,450,0,10,10
Koning M.,495,0,1,1
Guzman J.,495,0,1,1
Guccione A.,495,1,2,3
Goransson T.,490,0,2,2
Tveit E.,495,0,1,1
Isner J.,1405,466,285,751
Nishikori K.,1540,406,198,604
Gonzalez M.,355,28,57,85
Riba P.,345,23,54,77
Ruevski P.,495,0,1,1
Olejniczak D.,485,0,3,3
Klizan M.,445,121,132,253
Anderson K.,950,332,242,574
Cuevas P.,490,204,206,410
McClune M.,495,0,1,1
Jun W.S.,475,1,6,7
Gard C.,495,0,1,1
Lindahl N.,465,1,8,9
Martin D.,495,0,1,1
Singh N.,495,0,1,1
Raja P.,495,0,1,1
Nam H.W.,490,0,2,2
Matsukevitch D.,490,1,3,4
Kamke T.,310,61,99,160
Golubev A.,230,48,102,150
Chekov P.,495,0,1,1
Kukushkin M.,180,138,202,340
Vardhan V.,490,0,2,2
Kudryavtsev A.,455,5,14,19
Statham R.,495,0,1,1
Jones G.D.,495,0,1,1
Jones G.,475,1,6,7
Klein B.,465,3,10,13
Slanar M.,495,1,2,3
Podlipnik H.,490,0,2,2
Marrero D.,485,3,6,9
Bellucci T.,360,170,198,368
Munoz de la Nava D.,495,0,1,1
Decoud S.,500,4,4,8
Bowles C.,495,0,1,1
Crugnola M.,485,0,3,3
Dodig I.,440,110,122,232
Smyczek T.,290,43,85,128
Rodriguez B.,495,0,1,1
Ramirez C.,485,0,3,3
Skugor F.,440,7,19,26
Kavcic B.,295,36,77,113
Cervenak P.,505,5,4,9
Al-Ghareeb M.,495,0,1,1
Sousa J.,170,182,248,430
Elias G.,400,22,42,64
Harrison R.,280,109,153,262
Lopez-Jaen M.A.,495,1,2,3
Trujillo G.,500,1,1,2
Sanchez De Luna J.,490,0,2,2
Marrai M.,495,0,1,1
Del Potro J.,505,2,1,3
Fabbiano T.,320,26,62,88
Ouanna J.,460,9,17,26
Mannarino A.,240,285,337,622
Lipsky S.,495,0,1,1
De Voest R.,425,6,21,27
Evans D.,380,128,152,280
Berankis R.,275,97,142,239
Janowicz J.,480,77,81,158
Dimitrov G.,1315,444,281,725
